22;no cream or sugar;16;Ounces;474;5;0;0;0;0;0;0;0;1;9
23;2.5" chocolate chip cookie;1;Each;21;100;5;2;0;0;13;1;7;1;72
24;4 oz brat, corn battered & deep fried;1;Each;153;514;34;10;-1;94;34;2;1;17;1176
25;regular hotdog, corn battered & deep fried;1;Each;125;419;26;8;-1;61;34;2;3;12;1106
26;7-8" long  with 1 tsp butter, no salt;1;Each;146;155;3;2;-1;6;32;-1;-1;4;29
27;typical serving on a stick is 1-2 oz;2;Ounces;57;210;0;0;0;0;53;0;53;3;0
28;Cresentis fry bread 2 oz meat, 1.5 oz cheese & let;1;Sandwich;243;569;39;15;1;96;26;2;1;28;1515
29;3" donut, with glaze;1;Donut;31;124;6;2;0;9;16;1;6;2;98
30;10-12" diameter with 2 tsp sugar;1;Each;179;592;19;7;0;11;100;0;30;10;500
31;4"x 4"x 1.5" piece, regular;1;Each;110;455;10;2;-1;0;89;1;-1;4;386
32;4 oz batter fried fish on bun with 2 tbsp tartar;1;Sandwich;296;736;35;8;0;76;72;2;7;36;1642
33;25 strips, 3.5-4" long;1;Serving;164;515;26;3;0;0;63;6;1;6;476
34;Watermelon;1;Cup;152;46;0;0;0;0;11;1;9;1;2
35;9" diameter with powdered sugar;1;Each;360;1119;56;11;-1;245;124;4;-1;29;453
36;2 medium potatoes, ribbon sliced & fried;1;Serving;625;821;28;2;1;0;127;14;6;16;84
37;3-4 oz beef-lamb, onion & spread in a pita;1;Each;390;595;12;4;-1;82;74;4;8;44;874
38;1.5 oz cheese, grilled on 2 slices bread;1;Sandwich;157;440;29;-1;-1;-1;30;1;-1;15;1600
39;1 oz ham, 1 oz cheese on 2 slices bread ;1;Sandwich;146;352;15;6;-1;58;33;-1;-1;21;771
40;4 oz patty, w/ veg & mayo, no cheese;1;Sandwich;247;558;31;10;-1;82;43;4;10;28;845
41;;1;Each;50;78;5;2;-1;157;1;0;1;6;62
42;;16;Ounces;435;313;1;0;0;0;77;1;75;1;10
43;;16;Ounces;435;313;1;0;0;0;77;1;75;1;10
44;Honey, plain;1;Tablespoon;21;64;0;0;0;0;17;0;17;0;1
45;regular hot dog on bun, no condiments;1;Each;98;242;15;5;-1;44;18;-1;-1;10;670
46;thick chocolate milk shake;16;Ounces;450;536;12;8;-1;50;95;1;94;14;500
47;chocolate flavored;1;cup;170;360;16;10;0;50;46;0;44;6;100
48;ice cream bar, chocolate coated with nuts;1;Each;103;370;25;14;0;30;33;2;26;7;90
49;French vanilla ice cream, soft serve;1;Cup;172;382;22;12;-1;127;38;2;36;8;104
50;Tea, pre-sweetened;16;Ounces;454;177;0;0;0;0;44;0;44;0;18
51;8-9" roll, 3-4 oz meat, 3-4 oz cheese, 1/3 c sauce;1;Sandwich;469;1198;65;27;1;188;70;5;10;80;2775
52;Beef Jerky;1;Ounce;28;81;1;0;-1;20;4;-1;-1;15;607
53;Popcorn, kettle popped;7;Cup;140;560;9;2;-1;0;112;14;70;9;1120
54;lemonade, fresh;16;Ounces;528;220;0;0;0;0;56;0;48;0;0
55;macaroni & cheese, kids menu;1;Cup;287;439;18;6;1;32;52;3;8;19;1056
56;3 oz meat, 1/3 c sauce, 1 tbsp mozz cheese;1;Serving;177;264;13;5;0;74;17;3;8;18;494
57;12-16 chips w/ cheese beans beef & peppers;1;Serving;510;1137;61;25;-1;41;112;-1;-1;40;3601
58;Milk, 1%;8;Ounces;244;102;2;2;0;12;12;0;12;8;107
59;12-16 chips with cheese sauce;1;Serving;226;692;38;16;-1;36;73;-1;-1;18;1632
60;mixed nuts, w/peanuts, dry rstd, salted;1;Cup;137;814;70;10;0;0;35;12;6;24;917
